rank,reconstruction_error,explained,corcondia,seed
1,0.4544664959265615,0.7934602040802327,100.0,42
2,0.37612126370336957,0.8585327949901803,-60.90120006616715,42
3,0.27837038447649537,0.9225099290464082,-189869.34498969823,42
4,0.2356357360321205,0.9444757999046008,-188.67476722074065,42
5,0.19886707146014063,0.9604518878888674,-92.16838575154867,42
6,0.1755037522777743,0.9691984329364216,-276432.1720198872,42
1,0.4544664957708427,0.7934602042217707,100.0,7
2,0.3761212421932793,0.8585328111709846,-62.50188684032021,7
3,0.27836610966998454,0.9225123089871982,-148930.84460833904,7
4,0.23562127900737515,0.9444826128789287,-163.95506268477237,7
5,0.19905571656122154,0.9603768217042986,-26546.931155361894,7
6,0.1754500707467295,0.9692172726749676,-2340.9563754481505,7
1,0.4544664957585133,0.7934602042329773,100.0,100
2,0.3758592310193223,0.8587298384575637,-92906.61979610716,100
3,0.28006806640167725,0.9215618781820257,-37114501.053854935,100
4,0.24192721005426235,0.9414712250353608,-8830.237828025316,100
5,0.19970806464489935,0.9601166889157887,-962.9883329165265,100
6,0.17554994062821402,0.9691822183454305,-11911.70330748062,100
1,0.45446649575594283,0.7934602042353136,100.0,2024
2,0.37585980165616534,0.858729409498988,-87986.93109430114,2024
3,0.27836654720436355,0.9225120653975208,-161359.70058688518,2024
4,0.235627724402138,0.9444795754930702,-181.52131677908508,2024
5,0.19906649603104384,0.9603725301579225,-655.8041668342605,2024
6,0.1775442820985001,0.9684780278941282,-3946.4995303175174,2024
