rank,reconstruction_error,explained,corcondia,seed
1,0.47366813018742354,0.77563850244475,100.0,42
2,0.43356397293132554,0.8120222813760049,-9211.915645896292,42
3,0.3606877975558243,0.8699043126943287,-164918.44907763664,42
4,0.3184278207720233,0.8986037229583802,-250769.93083257222,42
5,0.2876074752744085,0.9172819401662805,-983679.2309936483,42
6,0.26478529373634674,0.9298887482209566,-1004520.0219428987,42
1,0.473668130191932,0.7756385024404789,100.0,7
2,0.4085329737078038,0.8331008093934589,-653040.6984315347,7
3,0.3606877925234502,0.8699043163245606,-164155.4723556578,7
4,0.31843437106393097,0.8985995513251187,-220358.03647370875,7
5,0.2873682630053928,0.9174194814172634,-256632.83576293325,7
6,0.26503835103462986,0.9297546724808443,-7105386.300858015,7
1,0.47366813020043075,0.7756385024324278,100.0,100
2,0.4335635109981493,0.8120226819309576,-7754.850241281957,100
3,0.3606877436853746,0.8699043515551536,-150963.27174165027,100
4,0.31842458539971275,0.898605783413021,-269001.4501752531,100
5,0.287352466246313,0.9174285601421616,-236204.00697091827,100
6,0.26528134789053737,0.9296258064613797,-902956.8998228746,100
1,0.4736681302263733,0.7756385024078515,100.0,2024
2,0.40853219411187447,0.8331014463741377,-3136839.169083026,2024
3,0.3606877210884414,0.8699043678560268,-151015.8333416506,2024
4,0.31841857118895434,0.8986096135219848,-333229.34930910805,2024
5,0.28977239603448407,0.9160319584964342,-10317291.273735112,2024
6,0.2647150583608271,0.9299259378770239,-1367413365.6272197,2024
