specification,variable,n_obs,n_non_null,coverage_pct,first_valid,last_valid
Z_macro,vix,772,772,100.0,2020-01-13,2023-08-31
Z_macro,baa_spread,772,772,100.0,2020-01-13,2023-08-31
Z_macro,dgs2,772,772,100.0,2020-01-13,2023-08-31
Z_macro,dxy,772,772,100.0,2020-01-13,2023-08-31
Z_macro,ALL (complete case),772,772,100.0,2020-01-13,2023-08-31
Z_crypto,Z_IVS_1,772,772,100.0,2020-01-13,2023-08-31
Z_crypto,rv,772,772,100.0,2020-01-13,2023-08-31
Z_crypto,fng,772,772,100.0,2020-01-13,2023-08-31
Z_crypto,ALL (complete case),772,772,100.0,2020-01-13,2023-08-31
Z_full,vix,772,772,100.0,2020-01-13,2023-08-31
Z_full,baa_spread,772,772,100.0,2020-01-13,2023-08-31
Z_full,dgs2,772,772,100.0,2020-01-13,2023-08-31
Z_full,dxy,772,772,100.0,2020-01-13,2023-08-31
Z_full,Z_IVS_1,772,772,100.0,2020-01-13,2023-08-31
Z_full,rv,772,772,100.0,2020-01-13,2023-08-31
Z_full,fng,772,772,100.0,2020-01-13,2023-08-31
Z_full,ALL (complete case),772,772,100.0,2020-01-13,2023-08-31
Z_crypto_hl,Z_IVS_1,772,772,100.0,2020-01-13,2023-08-31
Z_crypto_hl,rv,772,772,100.0,2020-01-13,2023-08-31
Z_crypto_hl,fng,772,772,100.0,2020-01-13,2023-08-31
Z_crypto_hl,delta_f_hl_der,772,73,9.46,2023-05-12,2023-08-31
Z_crypto_hl,ALL (complete case),772,73,9.46,2023-05-12,2023-08-31
