estimator,venue,statistic,point,ci_lo,ci_hi,se_boot,B_effective,n_excluded,block_length,n_returns
raw_moment,ALL,total_ep,0.04416204592692541,-0.010200156041006235,0.10474899558574118,0.029259767491476598,500,0,54,1300
almeida,CME,total_ep,0.036286374106644356,-0.012400824563708238,0.10417184038561232,0.0296866935468957,500,0,54,1300
almeida,CME,downside_contrib,0.004217673290915325,-0.01696501196292553,0.03223950735646508,0.014014781133902147,500,0,54,1300
almeida,CME,mid_contrib,-0.002665454956060899,-0.00548802909712286,0.002130352755826033,0.0017925957718341802,500,0,54,1300
almeida,CME,upside_contrib,0.03473415577178993,-0.0005092786964653424,0.07622932359228879,0.019849270883606027,500,0,54,1300
almeida,CME,downside_share,0.11623297710925136,-2.5721417669295743,1.7735419931184553,4.910840457654538,500,0,54,1300
almeida,CME,mid_share,-0.07345608432044552,-1.005739525892489,0.6791118370930838,1.7472617963465136,500,0,54,1300
almeida,CME,upside_share,0.9572231072111942,-1.4611668939315432,4.267465301808579,6.612570157560115,500,0,54,1300
almeida,DER,total_ep,0.03593027686234978,-0.012756921808002815,0.10381574314131767,0.0296866935468957,500,0,54,1300
almeida,DER,downside_contrib,0.006741147518222741,-0.014441537735618118,0.03476298158377248,0.014014781133902147,500,0,54,1300
almeida,DER,mid_contrib,-0.0026019846021355236,-0.0054245587431974865,0.002193823109751399,0.001792595771834181,500,0,54,1300
almeida,DER,upside_contrib,0.031791113946262564,-0.003452320521992713,0.07328628176676158,0.019849270883606024,500,0,54,1300
almeida,DER,downside_share,0.18761746657417439,-2.1890925911555805,1.9114243766946348,2.8994201438525353,500,0,54,1300
almeida,DER,mid_share,-0.07241760513295856,-0.9530565472018752,0.6391313403825484,1.2726070623495753,500,0,54,1300
almeida,DER,upside_share,0.8848001385587843,-1.038393639214506,3.6504632129723147,4.08322617220961,500,0,54,1300
vanilla,CME,total_ep,0.036717142022403865,-0.018500203230346186,0.1036218406098254,0.0316226374270337,500,0,54,1300
vanilla,CME,downside_contrib,0.0053340606724105845,-0.01978147080113861,0.031037416595090076,0.01399890370109521,500,0,54,1300
vanilla,CME,mid_contrib,-0.0030513286691806916,-0.006054530186857962,0.001752593578297491,0.0019668325426784334,500,0,54,1300
vanilla,CME,upside_contrib,0.034434410019173974,-0.00088705532962738,0.08247943228894106,0.021810929924593114,500,0,54,1300
vanilla,CME,downside_share,0.14527439715095136,-3.8677134957101003,3.981768906092205,4.715934839444354,500,0,54,1300
vanilla,CME,mid_share,-0.08310365407304438,-1.2960883477237823,0.9057815636888951,1.5505396572264207,500,0,54,1300
vanilla,CME,upside_share,0.9378292569220931,-3.2468110941860466,5.154162656142747,6.1080128437222365,500,0,54,1300
vanilla,DER,total_ep,0.03636104477810918,-0.01885630047464079,0.1032657433655309,0.0316226374270337,500,0,54,1300
vanilla,DER,downside_contrib,0.007857534899718,-0.01725799657383121,0.033560890822397466,0.013998903701095213,500,0,54,1300
vanilla,DER,mid_contrib,-0.0029878583152553135,-0.005991059832932586,0.0018160639322228553,0.001966832542678433,500,0,54,1300
vanilla,DER,upside_contrib,0.03149136819364649,-0.0038300971551547746,0.0795363904634136,0.021810929924593117,500,0,54,1300
vanilla,DER,downside_share,0.2160976107168558,-3.337631561595155,2.8633233862866696,48.0387759639685,500,0,54,1300
vanilla,DER,mid_share,-0.08217195995023016,-1.441196729990155,0.831383452549419,9.59263274532286,500,0,54,1300
vanilla,DER,upside_share,0.8660743492333743,-2.796174983495467,4.7712454813623015,38.698057832603894,500,0,54,1300
kde,CME,total_ep,0.04162674691406391,-0.010301853555217578,0.10185842871735311,0.029134987732469732,500,0,54,1300
kde,CME,downside_contrib,0.006613549128637408,-0.01656632148109125,0.03030028320181775,0.012667169905689826,500,0,54,1300
kde,CME,mid_contrib,-0.002206811294182042,-0.0053929381871268105,0.0006424092869276411,0.0015514190356471019,500,0,54,1300
kde,CME,upside_contrib,0.03722000907960854,0.0009504070298854282,0.08021185152931763,0.020317977950164556,500,0,54,1300
kde,CME,downside_share,0.15887739539894172,-2.9533107159823073,1.7081363861123526,2.8094255384332043,500,0,54,1300
kde,CME,mid_share,-0.05301426265035508,-1.355603822209285,0.673941593047361,1.6242472616927788,500,0,54,1300
kde,CME,upside_share,0.8941368672514134,-0.8391054700342646,6.440586953240014,3.643570156831193,500,0,54,1300
kde,DER,total_ep,0.04127064966976922,-0.010657950799512152,0.10150233147305858,0.029134987732469725,500,0,54,1300
kde,DER,downside_contrib,0.009137023355944828,-0.014042847253783837,0.032823757429125175,0.012667169905689831,500,0,54,1300
kde,DER,mid_contrib,-0.0021433409402566665,-0.005329467833201431,0.0007058796408530149,0.001551419035647102,500,0,54,1300
kde,DER,upside_contrib,0.03427696725408105,-0.001992634795641941,0.07726880970379028,0.02031797795016455,500,0,54,1300
kde,DER,downside_share,0.22139276771883978,-2.0069724874513573,1.7906249557554677,51.6630588204749,500,0,54,1300
kde,DER,mid_share,-0.05193378241939005,-1.1476690796295537,0.7643963595535052,70.56135734371713,500,0,54,1300
kde,DER,upside_share,0.8305410147005502,-1.1942612403310617,4.420445820953525,20.547537323225317,500,0,54,1300
