dep_var,regressor,coef,se,t_stat,p_value,stars
Pi_2,const,0.050658588084426234,0.0004988616635506963,101.54836858751345,0.0,***
Pi_2,DER,0.003353597808337357,0.0006793416621465924,4.936540764687707,7.952042198595693e-07,***
Pi_2,Z_IVS_1,0.027780306451725988,0.0008625384853868755,32.207613831011436,1.3808038554862986e-227,***
Pi_2,rv,0.0008119407066544638,0.0006290893450116341,1.290660401567361,0.19682146136638268,
Pi_2,fng,-0.004138799197884927,0.0006779580340739131,-6.104801462436393,1.0292854499637327e-09,***
Pi_2,DER×Z_IVS_1,0.0027372291138861114,0.0021154153702481948,1.2939440416209897,0.19568475035829536,
Pi_2,DER×rv,0.0009437661254322945,0.0015960443096672936,0.5913157421231175,0.5543088838040973,
Pi_2,DER×fng,-0.00043576275511698545,0.000987782969369279,-0.44115232660391934,0.6591027237314487,
Pi_3,const,0.01774434908454407,0.0008559448557922983,20.73071526099559,1.8304923102516296e-95,***
Pi_3,DER,0.0019168502860599803,0.0012564531000652164,1.525604326942634,0.12710843388738435,
Pi_3,Z_IVS_1,0.014197355073209988,0.0015985309697160944,8.88150141734914,6.596389599399824e-19,***
Pi_3,rv,0.0020048688431773764,0.0010137422305313564,1.9776909581112327,0.0479635809222173,**
Pi_3,fng,-0.007004523291734933,0.0011756369639603778,-5.958066568559344,2.552395538846823e-09,***
Pi_3,DER×Z_IVS_1,0.0031679684824059153,0.004177249442434835,0.7583862362213566,0.4482197951572824,
Pi_3,DER×rv,0.0009500151540303571,0.00241921997908285,0.3926948199189877,0.6945448970589413,
Pi_3,DER×fng,-0.0004930562661552548,0.0018454418530946275,-0.26717518372548404,0.7893342823657425,
Pi_4,const,0.02959504065162926,0.0014931631519379085,19.820366323143727,1.9865741318714674e-87,***
Pi_4,DER,0.00268517649256699,0.002141843969667774,1.253675118539794,0.20996011523530378,
Pi_4,Z_IVS_1,0.030226143036698426,0.0030415004342406946,9.937905218232965,2.847520070372825e-23,***
Pi_4,rv,0.0014612648242225907,0.0021239953016841716,0.6879793110012604,0.49146580995402556,
Pi_4,fng,-0.007103416481410186,0.0017473524687232882,-4.065245340340711,4.7981960679429806e-05,***
Pi_4,DER×Z_IVS_1,0.005175071833950065,0.006622552453504463,0.7814316111926856,0.43454868501597366,
Pi_4,DER×rv,0.00181099566836084,0.003144216758412174,0.575976724096907,0.564630914365859,
Pi_4,DER×fng,-0.0012042397987226555,0.002873555781426737,-0.41907653455216504,0.6751601993591521,
Pi_2,R²,0.9487328501946448,,,,
Pi_2,N,1391.0,,,,
Pi_3,R²,0.6959168353773634,,,,
Pi_3,N,1391.0,,,,
Pi_4,R²,0.7468113924546815,,,,
Pi_4,N,1391.0,,,,
