venue,year,n_days,rho_mean,rho_sd,rho_p05,rho_p25,rho_median,rho_p75,rho_p95,share_rho_pos_pct,eta_median,share_eta_at_upper_pct,gamma_median,share_gamma_at_bound_pct,median_days_to_expiry
CME,all,772.0,-0.142720442316797,0.1357278123162988,-0.3711508903953214,-0.2292777558006852,-0.13618189150581334,-0.05225312896988899,0.08253046751435685,14.119170984455959,2.022338921739671,0.1295336787564767,0.3349895412243019,0.0,26.0
DER,all,1327.0,-0.1333163616681537,0.13490696767201557,-0.3518822436979732,-0.2237277203358069,-0.12922704016765332,-0.04972252399040135,0.08809373491945974,14.468726450640542,2.160588033009927,0.22607385079125847,0.3111410490696294,0.30143180105501133,22.0
CME,2020,156.0,-0.04702923213002025,0.12138153933183023,-0.21631560237800018,-0.1407378284319059,-0.06553540373708885,0.0573524137774173,0.14838392972200717,36.53846153846153,2.0784127529215013,0.0,0.3755712903984275,0.0,26.0
CME,2021,214.0,-0.11700025395588554,0.09844272730547922,-0.299883406468641,-0.18073259384195828,-0.11536478744447615,-0.05528199301650154,0.03652628689983844,10.2803738317757,1.7893184797873483,0.0,0.3042289773956487,0.0,26.0
CME,2022,239.0,-0.27692887101574687,0.09249815388519197,-0.4562335794505057,-0.33791276481681193,-0.2705535920333723,-0.2108241881887518,-0.13622473414721567,0.0,2.114849090918323,0.41841004184100417,0.30546361425548396,0.0,26.0
CME,2023,163.0,-0.07128568550282907,0.08287167253889657,-0.19412470231022597,-0.11207553628521161,-0.06661790238957546,-0.017770167039724394,0.05300960101323487,18.404907975460123,2.089036006270462,0.0,0.38996492052236575,0.0,26.0
DER,2020,354.0,-0.06617575688118937,0.12870723943615414,-0.25120639454908383,-0.16291331169038686,-0.08530969831501656,0.030824838004430394,0.14600791148363712,31.07344632768362,2.0827690544304693,0.5649717514124294,0.37026833910252843,0.2824858757062147,23.5
DER,2021,365.0,-0.11465559217957962,0.11427857092328741,-0.2966255623044477,-0.18049250099154798,-0.10757087965425292,-0.05253501980895097,0.06145046198402552,10.95890410958904,2.0659997013751457,0.0,0.24863658273200576,0.821917808219178,22.0
DER,2022,365.0,-0.2632262325504634,0.09363623155090442,-0.41914954182147995,-0.3212325420536668,-0.25683274274343987,-0.2016742764116546,-0.1225629759532355,0.0,2.2948118445739927,0.273972602739726,0.27895147033373857,0.0,22.0
DER,2023,243.0,-0.06402357189807921,0.07302968191561135,-0.1727601275504232,-0.11366560316730873,-0.06962868307728096,-0.01362489800151629,0.04868908082106038,17.28395061728395,2.286064630599013,0.0,0.3507559466151503,0.0,21.0
