estimator,venue,n_bins,total_ep
almeida,CME,8,0.042941256474362546
almeida,DER,8,0.04294048437922037
almeida,CME,9,0.03764500475193773
almeida,DER,9,0.03764423265679563
almeida,CME,10,0.040832897822690145
almeida,DER,10,0.04083212572754795
almeida,CME,11,0.042719121699554795
almeida,DER,11,0.042718349604412606
almeida,CME,12,0.03627247648436227
almeida,DER,12,0.036271704389220095
almeida,CME,13,0.036856808119641975
almeida,DER,13,0.03685603602449982
vanilla,CME,8,0.041827552694050606
vanilla,DER,8,0.041826780598908445
vanilla,CME,9,0.041402798164585926
vanilla,DER,9,0.04140202606944367
vanilla,CME,10,0.04857806341284034
vanilla,DER,10,0.048577291317698224
vanilla,CME,11,0.023408848464936353
vanilla,DER,11,0.023408076369794202
vanilla,CME,12,0.0367032445307292
vanilla,DER,12,0.036702472435587045
vanilla,CME,13,0.040360834193494316
vanilla,DER,13,0.0403600620983522
