venue,regime,region,n_days,Pi_2,Pi_3,Pi_4,LB_region,LB_grid_total,share_of_grid_total
CME,unconditional,down,619,0.02397455160028191,0.011467728159233246,0.006596763241248496,0.04203904300076365,0.05378491436606983,0.7816140175410217
CME,unconditional,center,619,0.001483171230971944,1.1170744833624536e-05,8.415627959923926e-06,0.0015027576037654924,0.05378491436606983,0.027940131939923767
CME,unconditional,up,619,0.012826615179574178,-0.004402896119154373,0.0018193947011208799,0.010243113761540685,0.05378491436606983,0.19044585051905455
CME,unconditional,total,619,0.038284338010828034,0.007076002784912497,0.0084245735703293,0.05378491436606983,0.05378491436606983,1.0
CME,low,down,223,0.013655510243138201,0.005733100229293571,0.003007590680328664,0.022396201152760437,0.030312568435993073,0.7388420812987672
CME,low,center,223,0.0016347209733101168,1.1278810212071195e-05,8.971428816939249e-06,0.0016549712123391273,0.030312568435993073,0.054596865185927906
CME,low,up,223,0.007720295019375402,-0.002322681383446424,0.0008637824349645346,0.006261396070893512,0.030312568435993073,0.20656105351530507
CME,low,total,223,0.023010526235823715,0.003421697656059218,0.003880344544110137,0.03031256843599307,0.030312568435993073,0.9999999999999999
CME,mid,down,191,0.023035613617388876,0.010741608244870426,0.006053416448126695,0.039830638310385996,0.05130301297242551,0.7763800993870337
CME,mid,center,191,0.001502834164036076,9.856425744672915e-06,8.600859753571437e-06,0.0015212914495343203,0.05130301297242551,0.029653062488785763
CME,mid,up,191,0.01240396885881161,-0.00405777320704844,0.0016048875607420198,0.00995108321250519,0.05130301297242551,0.19396683812418047
CME,mid,total,191,0.03694241664023656,0.006693691463566659,0.007666904868622288,0.0513030129724255,0.05130301297242551,0.9999999999999999
CME,high,down,205,0.03607447051430931,0.018382415632500784,0.011007322844035746,0.06546420899084583,0.08163065245676827,0.8019562140032604
CME,high,center,205,0.0012999945833784721,1.2277751499947242e-05,7.63844325894299e-06,0.0013199107781373624,0.08163065245676827,0.016169303299840575
CME,high,up,205,0.01877507782830578,-0.006987317398545135,0.0030587722580244277,0.014846532687785071,0.08163065245676827,0.18187448269689893
CME,high,total,205,0.05614954292599357,0.011407375985455593,0.014073733545319118,0.08163065245676829,0.08163065245676827,1.0000000000000002
DER,unconditional,down,619,0.02548095205290957,0.012277984508970075,0.0070937486780814915,0.04485268523996114,0.057249989820651694,0.7834531565939511
DER,unconditional,center,619,0.0014604309392864327,1.1696217177315693e-05,8.343626710921724e-06,0.00148047078317467,0.057249989820651694,0.025859756269172685
DER,unconditional,up,619,0.013689129531214332,-0.004747208731888853,0.001974912998190398,0.010916833797515877,0.057249989820651694,0.19068708713687607
DER,unconditional,total,619,0.040630512523410336,0.0075424719942585395,0.009077005302982812,0.05724998982065169,0.057249989820651694,0.9999999999999999
DER,low,down,223,0.014414254471274457,0.00613169736415163,0.0032489973345816003,0.023794949170007688,0.03206084049914801,0.7421810782109727
DER,low,center,223,0.0016369456668214005,1.1488836933636605e-05,9.028584110021169e-06,0.0016574630878650582,0.03206084049914801,0.051697430948795746
DER,low,up,223,0.008161815715314017,-0.0024904465772847655,0.0009370591032460072,0.006608428241275259,0.03206084049914801,0.20612149084023149
DER,low,total,223,0.024213015853409875,0.0036527396238005016,0.004195085021937629,0.03206084049914801,0.03206084049914801,1.0
DER,mid,down,191,0.024431640105658823,0.01148008295060976,0.006501464251635501,0.04241318730790408,0.05445968212540105,0.778799758879271
DER,mid,center,191,0.0014824334895011525,1.0478175370058123e-05,8.551040847740632e-06,0.0015014627057189512,0.05445968212540105,0.027570170208882652
DER,mid,up,191,0.013160187490790898,-0.004350686732169002,0.001735531353156113,0.01054503211177801,0.05445968212540105,0.19363007091184622
DER,mid,total,191,0.03907426108595087,0.007139874393810814,0.008245546645639356,0.05445968212540104,0.05445968212540105,0.9999999999999998
DER,high,down,205,0.03849701128524871,0.019707356367220485,0.011827923678333489,0.07003229133080269,0.08725061942303311,0.8026566664386913
DER,high,center,205,0.0012479174205971184,1.3056664882323657e-05,7.405277441987148e-06,0.0012683793629214293,0.08725061942303311,0.014537196083064053
DER,high,up,205,0.020194587632027246,-0.007571568060782525,0.003326929158064289,0.01594994872930901,0.08725061942303311,0.18280613747824484
DER,high,total,205,0.05993951633787306,0.012148844971320285,0.015162258113839764,0.08725061942303311,0.08725061942303311,1.0
