dep_var,region,order,wedge,t_stat,p_value,stars,n_days,nw_lags
dPi_2_down,down,2,0.0015064004526276614,6.3505111942243975,2.1460059312884865e-10,***,619,27
dPi_3_down,down,3,0.0008102563497368318,5.9393766920478335,2.8610777846180797e-09,***,619,27
dPi_4_down,down,4,0.0004969854368329948,5.631495361761037,1.7865378161120923e-08,***,619,27
dLB_down,down,LB,0.0028136422391974885,6.145670023682387,7.962666672866503e-10,***,619,27
dPi_2_center,center,2,-2.27402916855113e-05,-3.3112227414879727,0.0009288923845852452,***,619,27
dPi_3_center,center,3,5.254723436911573e-07,2.1382158838607057,0.032499225803451166,**,619,27
dPi_4_center,center,4,-7.200124900220365e-08,-1.691622771593276,0.0907179218405475,*,619,27
dLB_center,center,LB,-2.2286820590822346e-05,-3.209684000872304,0.001328809677430238,***,619,27
dPi_2_up,up,2,0.0008625143516401543,7.146665969724694,8.891087509282797e-13,***,619,27
dPi_3_up,up,3,-0.00034431261273447865,-6.5342031695909215,6.394908701219278e-11,***,619,27
dPi_4_up,up,4,0.00015551829706951826,6.101493318370357,1.0508203377073684e-09,***,619,27
dLB_up,up,LB,0.0006737200359751939,7.221436435535152,5.144126606144999e-13,***,619,27
dPi_2_total,total,2,0.002346174512582305,6.734810750722342,1.6414343754993085e-11,***,619,27
dPi_3_total,total,3,0.00046646920934604425,5.1441830116755165,2.6868751009061016e-07,***,619,27
dPi_4_total,total,4,0.000652431732653511,5.861449090466572,4.588451583879151e-09,***,619,27
dLB_total,total,LB,0.0034650754545818606,6.413213245621389,1.4248399267451852e-10,***,619,27
