dep_var,regressor,coef,se,t_stat,p_value,stars
Pi_2,const (venue wedge),0.0035712191129134833,0.0004173422172810479,8.557052138601502,1.1579017509997687e-17,***
Pi_2,Z_IVS_1,0.0024242244228534398,0.002200868982683513,1.101485114255911,0.270685579630752,
Pi_2,rv,0.0009864832443578443,0.0011954351342055984,0.8252085087104214,0.40925322357837757,
Pi_2,fng,-0.0008740976762610537,0.0006073013467383397,-1.4393145692095182,0.15006141681901858,
Pi_3,const (venue wedge),0.001959408307903251,0.0005730585642118159,3.419211281831585,0.0006280294110034981,***
Pi_3,Z_IVS_1,0.0031069900665981268,0.003861289787395419,0.8046508388830109,0.42102119605996247,
Pi_3,rv,0.001346538070389601,0.0017527912415897782,0.768225010736757,0.44235351699567393,
Pi_3,fng,-0.0015277244125122063,0.001035454721770396,-1.475414018973364,0.14010126864693317,
Pi_4,const (venue wedge),0.0032638761090831424,0.0010391939443765283,3.1407766824905123,0.0016850046235278313,***
Pi_4,Z_IVS_1,0.0055767079059691315,0.006790845011453391,0.8212097163995784,0.4115268229553789,
Pi_4,rv,0.0023712005646062758,0.0028464562588244196,0.8330360100406309,0.40482442062840485,
Pi_4,fng,-0.0026716884694590486,0.0018928029056600481,-1.4114985038695256,0.1580976764530837,
Pi_2,R²,0.13140738458908818,,,,
Pi_2,N,621.0,,,,
Pi_3,R²,0.11239114191310307,,,,
Pi_3,N,621.0,,,,
Pi_4,R²,0.10929030193738842,,,,
Pi_4,N,621.0,,,,
