tau_days,order,sample,wedge,se,t_stat,p_value,stars,n_days
14,2,own,0.005038989023473195,0.0012645146609376872,3.984919415435316,6.750302983740016e-05,***,206
14,2,common_all_tau,0.004668832124383183,0.0011919122345039018,3.91709388428792,8.962285188186822e-05,***,190
14,3,own,0.0020694596624456674,0.001322978603645613,1.564242729809117,0.11776057591494793,,206
14,3,common_all_tau,0.0017941998570190079,0.0013162276158224517,1.3631379827096948,0.17283902811458673,,190
14,4,own,0.0031329360504898833,0.0023009473811708633,1.3615852653247782,0.17332880794407246,,206
14,4,common_all_tau,0.0028350425240687657,0.0023383875847661946,1.2123920527709393,0.2253623415987176,,190
27,2,own,0.003538343355872385,0.0005783566202039779,6.117926608369181,9.480070647620056e-10,***,621
27,2,common_all_tau,0.0027381779157198186,0.0012907549844622778,2.1213769837662335,0.03389009057257426,**,190
27,3,own,0.001909975139764622,0.0005513302231992433,3.4643033510506145,0.0005316066596874399,***,621
27,3,common_all_tau,0.0017111366004775063,0.0016706818799913043,1.0242144964703948,0.30573397311613326,,190
27,4,own,0.0031766370845718395,0.000980011271917742,3.2414291300503253,0.0011893200172551632,***,621
27,4,common_all_tau,0.002326310019716593,0.003041006041821599,0.7649804004740174,0.4442832156467418,,190
60,2,own,0.005677559346598492,0.0010033055327718834,5.658853819845694,1.523872804459804e-08,***,732
60,2,common_all_tau,0.005652421100707299,0.0019441986811030794,2.907326887754232,0.0036453204656252693,***,190
60,3,own,0.004595770124163143,0.0009984680906092354,4.6028212292282085,4.168059829126847e-06,***,732
60,3,common_all_tau,0.004874171625845899,0.0016274012726957936,2.99506440582526,0.0027438689792264282,***,190
60,4,own,0.009036087611395982,0.0018900831765433096,4.780788339654812,1.7460912469807766e-06,***,732
60,4,common_all_tau,0.009457741605144615,0.0032825024694789844,2.881259555197165,0.003960893154960936,***,190
